text,label
"Hurry! Offer expires in 05:00 minutes!",urgency
"Hurry, sale ends today!",urgency
"Hurry! Special 50% Offer expires in 05:00 minutes!",urgency
"Limited time offer! Act fast before it is gone.",urgency
"Countdown timer: 02:15 remaining to claim your discount.",urgency
"Expires soon! Don't miss out on this deal.",urgency
"Last chance to buy at this price!",urgency
"Offer ending in 10 minutes!",urgency
"Hurry! Hurry! Act now before offer expires!",urgency
"Only 2 items left in stock!",scarcity
"Hurry! Only 2 items left in stock - order soon!",scarcity
"Few items remaining, buy now!",scarcity
"High demand! Only 1 unit available.",scarcity
"Almost sold out! 3 people have this in their cart.",scarcity
"Limited quantity remaining in warehouse.",scarcity
"Stock is running low, order soon!",scarcity
"Only 2 items left!",scarcity
"No, I don't want to save money and prefer paying full price.",confirmshaming
"No thanks, I don't care about saving money.",confirmshaming
"I prefer paying full price.",confirmshaming
"No, I don't want free shipping.",confirmshaming
"Nah, I'll pass on the discount.",confirmshaming
"I don't want to protect my purchase.",confirmshaming
"View Product",normal
"Add to Cart",normal
"Learn More",normal
"Home",normal
"About Us",normal
"Contact Support",normal
"Privacy Policy",normal
"Terms and Conditions",normal
"Sign up for our newsletter",normal
"Submit Form",normal
"Checkout",normal
"Shipping Information",normal
"Read Customer Reviews",normal
"Filter by Category",normal
"Select Size",normal
"Quantity: 1",normal
"Search products...",normal
